prod_ai,group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength
amlodipine,negative_control,neg,5-HYDROXYINDOLACETIC ACID INCREASED,5,5747,4,1403531,0.036733468768249476,5752,9,1409287,298.1806,298.465,85.8435,1037.7183,544.5311,1.948553896869778e-120,2.4213285576098758e-119,True,40.0041,18.3398,78.3575,3.3572,2.0926,4,True,Strong
amlodipine,negative_control,neg,ABDOMINAL DISCOMFORT,64,5688,13221,1390314,54.22268139846603,5752,13285,1409287,1.1902,1.1923,0.9323,1.5249,1.609,0.20463372487024958,0.2713853121593402,False,1.1792,0.956,1.4418,0.2372,-0.1163,0,False,None
amlodipine,negative_control,neg,ABDOMINAL DISTENSION,65,5687,7636,1395899,31.431604776032135,5752,7701,1409287,2.0926,2.1051,1.6483,2.6885,35.1249,3.0921528299874425e-09,8.992360852191399e-09,True,2.0636,1.6758,2.5192,1.0365,0.6858,3,False,None
amlodipine,negative_control,neg,ABDOMINAL PAIN,119,5633,15985,1387550,65.72842011598773,5752,16104,1409287,1.8238,1.8412,1.5351,2.2085,43.0343,5.378925392400493e-11,1.7087906426428445e-10,True,1.8087,1.552,2.0979,0.8515,0.5923,2,False,None
amlodipine,negative_control,neg,ABDOMINAL PAIN LOWER,7,5745,1516,1402019,6.216119214893773,5752,1523,1409287,1.2066,1.2068,0.5886,2.4742,0.013,0.9091140302824122,0.9641524264211663,False,1.1184,0.5809,1.9916,0.1593,-0.9095,0,False,None
amlodipine,negative_control,neg,ABDOMINAL PAIN UPPER,77,5675,14337,1389198,58.83069098061644,5752,14414,1409287,1.3187,1.3231,1.0568,1.6565,5.3836,0.020326404471999397,0.03293578665956181,True,1.3076,1.0803,1.5712,0.3854,0.0632,2,False,None
amlodipine,negative_control,neg,ABNORMAL FAECES,4,5748,749,1402786,3.0733668869435395,5752,753,1409287,1.4648,1.4651,0.5798,3.7026,0.0595,0.8072909958044536,0.8751684689192776,False,1.2825,0.5345,2.695,0.3326,-1.0812,0,False,None
amlodipine,negative_control,neg,ABNORMAL LOSS OF WEIGHT,7,5745,317,1403218,1.322404875656981,5752,324,1409287,5.763,5.7692,2.7954,11.9066,20.3595,6.41726286892607e-06,1.527673132935112e-05,True,4.9944,2.594,8.8939,2.041,0.9723,3,False,None
amlodipine,negative_control,neg,ABORTION SPONTANEOUS,5,5747,2176,1401359,8.90174393150579,5752,2181,1409287,0.6165,0.6161,0.2667,1.4232,1.3073,0.25288315406491935,0.32788559444950427,False,0.5622,0.2577,1.1011,-0.7735,-2.0381,0,False,None
amlodipine,negative_control,neg,ACCIDENT,4,5748,1058,1402477,4.334549314653438,5752,1062,1409287,1.0372,1.0372,0.4108,2.619,0.0,1.0,1.0,False,0.9169,0.3821,1.9267,-0.1035,-1.5173,0,False,None
amlodipine,negative_control,neg,ACCIDENT AT WORK,3,5749,157,1403378,0.6530394447688795,5752,160,1409287,5.4215,5.4242,1.8801,15.6492,5.2457,0.022001398037094548,0.035474488527234865,True,4.1201,1.4936,9.5616,1.6019,-0.0307,2,False,None
amlodipine,negative_control,neg,ACCIDENTAL EXPOSURE TO PRODUCT,15,5737,15074,1388461,61.58570113823515,5752,15089,1409287,0.2509,0.2488,0.1511,0.4097,35.0029,3.2921914617810525e-09,9.566553203559992e-09,True,0.244,0.1569,0.3656,-2.002,-2.7321,0,False,None
amlodipine,negative_control,neg,ACCIDENTAL OVERDOSE,26,5726,2336,1401199,9.640494803400586,5752,2362,1409287,2.767,2.7752,1.8907,4.0735,26.2413,3.01315831335109e-07,7.805424152077377e-07,True,2.677,1.9195,3.6537,1.3859,0.8313,3,False,None
amlodipine,negative_control,neg,ACNE,15,5737,3958,1399577,16.215785712917242,5752,3973,1409287,0.9553,0.9552,0.5796,1.574,0.0318,0.858434552550665,0.919662234901388,False,0.923,0.5935,1.3829,-0.1089,-0.839,0,False,None
amlodipine,negative_control,neg,ACQUIRED HAEMOPHILIA,11,5741,68,1403467,0.3224382258546343,5752,79,1409287,40.9578,41.0378,21.9628,76.6798,322.583,3.9652312737937333e-72,3.5190831100154973e-71,True,26.817,15.9694,42.8193,3.8056,2.953,4,True,Strong
amlodipine,negative_control,neg,ACTINIC KERATOSIS,3,5749,156,1403379,0.648957948239074,5752,159,1409287,5.4561,5.4588,1.8919,15.7504,5.302,0.0213007301265558,0.03442754430930288,True,4.1428,1.5018,9.6144,1.607,-0.0255,2,False,None
amlodipine,negative_control,neg,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,18,5734,178,1403357,0.7999733198418775,5752,196,1409287,25.285,25.3633,15.7034,40.9655,350.1027,4.025134856527005e-78,3.755264967348091e-77,True,20.2887,13.5735,29.3971,3.831,3.1645,4,True,Strong
amlodipine,negative_control,neg,ACUTE CORONARY SYNDROME,16,5736,318,1403217,1.3632198409550362,5752,334,1409287,12.6387,12.6722,7.7205,20.7999,147.2361,6.9682393776924464e-34,4.005515620458441e-33,True,11.0466,7.2067,16.3513,3.1466,2.4397,4,True,Moderate
amlodipine,negative_control,neg,ACUTE KIDNEY INJURY,334,5418,10364,1393171,43.66384987585921,5752,10698,1409287,7.8737,8.298,7.418,9.2824,1946.5637,0.0,0.0,True,7.6347,6.9718,8.3465,2.9211,2.7663,4,True,Moderate
amlodipine,negative_control,neg,ACUTE MYOCARDIAL INFARCTION,24,5728,1232,1402303,5.126359641435704,5752,1256,1409287,4.8496,4.8661,3.2594,7.2647,66.1827,4.109946670850874e-16,1.5902862905312275e-15,True,4.6105,3.2599,6.3695,2.1225,1.5453,3,False,None
amlodipine,negative_control,neg,ACUTE RESPIRATORY DISTRESS SYNDROME,43,5709,1016,1402519,4.3223048250640215,5752,1059,1409287,10.4403,10.5122,7.752,14.2551,338.8494,1.1362067307427604e-75,1.037712029625741e-74,True,9.757,7.5453,12.4523,3.1732,2.742,4,True,Moderate
amlodipine,negative_control,neg,ACUTE RESPIRATORY FAILURE,13,5739,1308,1402227,5.391656915873062,5752,1321,1409287,2.517,2.5206,1.4736,4.3116,9.4189,0.002147658906125513,0.003992182591726694,True,2.3807,1.4799,3.6695,1.1962,0.412,3,False,None
amlodipine,negative_control,neg,ADENOMA BENIGN,4,5748,34,1403501,0.1550968681326089,5752,38,1409287,31.8216,31.8458,11.9198,85.0816,72.4356,1.7257391348058462e-17,6.943440326892043e-17,True,16.5766,6.9085,34.8336,2.7801,1.3663,4,True,Moderate
amlodipine,negative_control,neg,ADJUSTMENT DISORDER,43,5709,63,1403472,0.4326386321593827,5752,106,1409287,167.1263,168.392,114.3953,247.8759,4107.4673,0.0,0.0,True,82.4257,63.7418,105.1952,5.5436,5.1123,4,True,Strong
amlodipine,negative_control,neg,ADRENAL ADENOMA,3,5749,46,1403489,0.19999332996046937,5752,49,1409287,18.363,18.3736,6.198,54.4673,26.5604,2.554311004565373e-07,6.640128184233213e-07,True,10.5652,3.83,24.519,2.3219,0.6894,3,False,None
amlodipine,negative_control,neg,ADRENAL DISORDER,3,5749,163,1403372,0.6775284239477126,5752,166,1409287,5.2225,5.2251,1.8118,15.0685,4.9229,0.02650293331413186,0.042097594915296674,True,3.9885,1.4459,9.2563,1.5716,-0.061,2,False,None
