target_drug,target_group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength,n_cases,death_rate,serious_rate,median_age,gt_severity,pt_severity,llm_severity,llm_reasoning,final_severity,calib_source
amlodipine,negative_control,neg,5-HYDROXYINDOLACETIC ACID INCREASED,5,5747,4,1403531,0.036733468768249476,5752,9,1409287,298.1806,298.465,85.8435,1037.7183,544.5311,1.948553896869778e-120,2.4213285576098758e-119,1,40.0041,18.3398,78.3575,3.3572,2.0926,4,1,Strong,6,0.0,0.16666666666666666,59.0,,,MILD,"Laboratory abnormality, typically asymptomatic, requires monitoring only",MILD,llm_only
amlodipine,negative_control,neg,ACQUIRED HAEMOPHILIA,11,5741,68,1403467,0.3224382258546343,5752,79,1409287,40.9578,41.0378,21.9628,76.6798,322.583,3.9652312737937333e-72,3.5190831100154973e-71,1,26.817,15.9694,42.8193,3.8056,2.953,4,1,Strong,13,0.7857142857142857,0.9285714285714286,68.0,,,SEVERE,Life-threatening bleeding disorder requiring urgent intervention and hospitalization,SEVERE,llm_only
amlodipine,negative_control,neg,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,18,5734,178,1403357,0.7999733198418775,5752,196,1409287,25.285,25.3633,15.7034,40.9655,350.1027,4.025134856527005e-78,3.755264967348091e-77,1,20.2887,13.5735,29.3971,3.831,3.1645,4,1,Strong,29,0.8275862068965517,0.9655172413793104,80.0,FATAL,FATAL,MODERATE,Laboratory abnormality requiring monitoring and potential dose adjustments,FATAL,conservative
amlodipine,negative_control,neg,ACUTE CORONARY SYNDROME,16,5736,318,1403217,1.3632198409550362,5752,334,1409287,12.6387,12.6722,7.7205,20.7999,147.2361,6.9682393776924464e-34,4.005515620458441e-33,1,11.0466,7.2067,16.3513,3.1466,2.4397,4,1,Moderate,27,0.0,0.42857142857142855,60.0,MODERATE,MODERATE,SEVERE,Life-threatening cardiac emergency requiring immediate hospitalization and intervention,SEVERE,conservative
amlodipine,negative_control,neg,ACUTE KIDNEY INJURY,334,5418,10364,1393171,43.66384987585921,5752,10698,1409287,7.8737,8.298,7.418,9.2824,1946.5637,0.0,0.0,1,7.6347,6.9718,8.3465,2.9211,2.7663,4,1,Moderate,1005,0.10127826941986234,0.7502458210422812,67.0,MODERATE,MODERATE,SEVERE,Life-threatening organ failure requiring urgent medical intervention,SEVERE,conservative
amlodipine,negative_control,neg,ACUTE RESPIRATORY DISTRESS SYNDROME,43,5709,1016,1402519,4.3223048250640215,5752,1059,1409287,10.4403,10.5122,7.752,14.2551,338.8494,1.1362067307427604e-75,1.037712029625741e-74,1,9.757,7.5453,12.4523,3.1732,2.742,4,1,Moderate,56,0.14285714285714285,0.9821428571428571,21.5,SEVERE,SEVERE,FATAL,Life-threatening respiratory failure with high mortality risk,FATAL,conservative
amlodipine,negative_control,neg,ADENOMA BENIGN,4,5748,34,1403501,0.1550968681326089,5752,38,1409287,31.8216,31.8458,11.9198,85.0816,72.4356,1.7257391348058462e-17,6.943440326892043e-17,1,16.5766,6.9085,34.8336,2.7801,1.3663,4,1,Moderate,6,0.0,0.8333333333333334,41.0,,,MODERATE,Benign tumor requiring medical evaluation and potential intervention,MODERATE,llm_only
amlodipine,negative_control,neg,ADJUSTMENT DISORDER,43,5709,63,1403472,0.4326386321593827,5752,106,1409287,167.1263,168.392,114.3953,247.8759,4107.4673,0.0,0.0,1,82.4257,63.7418,105.1952,5.5436,5.1123,4,1,Strong,43,0.0,1.0,65.0,MODERATE,MODERATE,MODERATE,Mental health condition requiring professional treatment and monitoring,MODERATE,consensus
amlodipine,negative_control,neg,AFFECT LABILITY,44,5708,357,1403178,1.6366801084520044,5752,401,1409287,30.3678,30.5967,22.3817,41.827,1075.4824,7.041958617743139e-236,1.3923443647682478e-234,1,25.5155,19.7911,32.4759,4.3804,3.9541,4,1,Strong,48,0.0,0.9791666666666666,65.0,MODERATE,MODERATE,MILD,"Emotional symptom, typically self-limiting without urgent intervention needed",MODERATE,conservative
amlodipine,negative_control,neg,ALLERGY TO ANIMAL,13,5739,150,1403385,0.665283934358296,5752,163,1409287,21.884,21.9331,12.5603,38.3002,211.4147,6.748910351739053e-48,4.708913324888886e-47,1,17.2864,10.7452,26.6438,3.5342,2.7499,4,1,Strong,17,0.0,0.8823529411764706,68.5,MILD,MILD,MILD,"Allergic reaction, typically managed with avoidance and antihistamines",MILD,consensus
amlodipine,negative_control,neg,AMNIOTIC FLUID INDEX DECREASED,4,5748,0,1403535,0.01632598611922199,5752,4,1409287,2195.6934,2197.4114,118.2883,40820.7428,746.4024,2.4302566782403256e-164,3.7693255524757944e-163,1,38.2898,15.9577,80.4609,3.1236,1.7097,4,1,Strong,4,0.0,0.75,29.0,,,MODERATE,Pregnancy complication requiring medical monitoring and potential intervention,MODERATE,llm_only
amlodipine,negative_control,neg,ANAEMIA MACROCYTIC,7,5745,118,1403417,0.5101870662256872,5752,125,1409287,15.4409,15.4597,7.3875,32.3523,70.6174,4.336725983445348e-17,1.7260309836972173e-16,1,11.7575,6.1065,20.9374,2.8923,1.8235,4,1,Moderate,10,0.0,1.0,62.0,MODERATE,MODERATE,MODERATE,Blood disorder requiring investigation and treatment of underlying cause,MODERATE,consensus
amlodipine,negative_control,neg,ANALGESIC THERAPY,15,5737,42,1403493,0.23264530219891336,5752,57,1409287,88.9758,89.2135,49.8428,159.6829,878.5903,4.426892116326128e-193,7.575018412507005e-192,1,46.6983,30.0279,69.9702,4.403,3.6729,4,1,Strong,23,1.0,1.0,80.0,FATAL,FATAL,MILD,"Therapeutic intervention, not an adverse event itself",FATAL,conservative
amlodipine,negative_control,neg,ANGINA PECTORIS,58,5694,1197,1402338,5.122278144905899,5752,1255,1409287,11.9182,12.0303,9.2415,15.6608,538.2613,4.504844241248339e-119,5.555723458061288e-118,1,11.1374,8.9323,13.7521,3.3792,3.0079,4,1,Strong,120,0.048,0.712,61.0,MILD,MILD,MODERATE,Cardiac symptom requiring medical attention and treatment modification,MODERATE,conservative
